Breed, Affectionate With Family, Good With Young Children, Good With Other Dogs, Shedding Level, Coat Grooming Frequency, Drooling Level, Openness to Strangers, Playfulness Level, Watchdog/Protective Nature, Adaptability Level, Trainability Level, Energy Level, Barking Level, Mental Stimulation Needs, Coat Type, Coat Length 
Polish-Lowland-Sheepdog,5,3,3,2,4,2,3,4,5,5,4,3,4,4,Double ,Long 
Pomeranian,5,3,3,2,3,1,3,3,4,4,3,3,4,3,Double ,Long 
Poodle-Miniature,5,5,3,1,4,1,5,5,3,4,5,4,4,5,Curly ,Long 
Poodle-Standard,5,5,3,1,4,1,5,5,5,4,5,4,4,5,Curly ,Long 
Poodle-Toy,5,5,3,1,4,1,5,5,3,4,5,4,4,5,Curly ,Long 
Porcelaine,5,5,5,3,1,3,5,5,3,4,5,4,2,4,Smooth ,Short 
Portuguese-Podengo,5,5,5,3,2,1,3,4,3,4,3,4,3,4,Wiry Smooth ,Medium 
Portuguese-Podengo-Pequeno,5,5,5,3,2,1,3,4,3,4,3,4,3,4,Wiry Smooth ,Short 
Portuguese-Pointer,5,5,3,3,1,2,4,4,3,4,5,5,3,5,Smooth ,Short 
Portuguese-Sheepdog,5,3,3,2,2,2,3,3,5,4,5,4,3,4,Wavy ,Long 
Portuguese-Water-Dog,5,5,4,2,4,2,4,5,4,5,5,5,3,5,Curly Wavy ,Long 
Pudelpointer,5,3,3,3,1,3,3,3,3,5,5,4,3,4,Wiry Smooth Rough ,Short 
Pug,5,5,4,4,2,1,5,5,3,5,4,3,1,3,Smooth ,Short 
Puli,5,3,3,1,5,2,3,3,5,4,5,3,3,5,Corded Double ,Long 
Pumi,5,3,3,1,2,2,3,4,4,4,5,5,3,5,Curly Wavy ,Medium 
Pyrenean-Mastiff,5,5,3,3,3,5,3,3,5,3,3,2,1,3,Double ,Medium 
Pyrenean-Shepherd,5,3,3,3,2,2,3,5,5,4,5,5,4,5,Smooth Rough ,Medium 
Rafeiro-do-Alentejo,5,3,3,3,2,3,3,3,5,5,5,3,2,3,Double ,Short 
Rat-Terrier,5,5,3,3,2,1,5,5,4,4,5,4,3,5,Smooth ,Short 
Redbone-Coonhound,5,5,5,3,2,3,3,3,3,4,3,3,4,4,Smooth ,Short 
Rhodesian-Ridgeback,5,5,3,3,2,2,3,3,5,4,4,3,2,4,Smooth ,Short 
Romanian-Mioritic-Shepherd-Dog,5,5,3,2,2,3,1,3,5,3,3,3,1,3,Double ,Medium 
Rottweiler,5,3,3,3,1,3,3,4,5,4,5,3,1,5,Smooth ,Short 
Russell-Terrier,5,3,5,3,2,1,5,5,4,4,3,5,4,5,Wiry Smooth ,Short 
Russian-Toy,5,3,3,3,2,1,3,4,4,4,4,3,4,3,Double ,Short 
Russian-Tsvetnaya-Bolonka,5,3,3,1,3,1,4,5,3,4,4,3,4,4,Wavy ,Medium 
Saint-Bernard,5,5,3,3,2,5,3,3,5,4,3,3,1,3,Smooth Rough Double ,Short 
Saluki,5,3,3,2,1,1,3,3,1,3,3,4,3,5,Smooth ,Short 
Samoyed,5,5,3,3,3,1,5,5,4,4,4,4,5,4,Double ,Long 
Schapendoes,5,3,5,2,3,2,3,4,5,4,5,4,3,4,Double ,Long 
Schipperke,5,3,3,3,2,1,3,4,5,4,4,3,4,3,Double ,Short 
Scottish-Deerhound,5,3,5,3,1,1,3,3,3,3,3,3,1,3,Wiry Double ,Medium 
Scottish-Terrier,5,3,2,2,3,2,3,4,5,4,3,3,4,4,Wiry Double ,Medium 
Sealyham-Terrier,5,3,3,3,3,1,4,3,5,4,4,3,4,4,Wiry Double ,Medium 
Segugio-Italiano,5,3,5,3,1,2,5,3,3,3,3,4,4,3,Smooth ,Short 
Shetland-Sheepdog,5,5,5,3,3,1,2,5,5,5,5,4,5,4,Double ,Long 
Shiba-Inu,5,3,3,3,2,1,3,3,5,3,2,3,3,4,Double ,Short 
Shih-Tzu,5,5,5,1,4,1,3,3,3,5,4,3,3,3,Double ,Long 
Shikoku,3,3,3,3,3,1,3,3,3,3,3,3,3,3,Double ,Short 
Siberian-Husky,5,5,5,4,2,1,5,5,1,4,3,5,5,4,Double ,Medium 
Silky-Terrier,5,3,3,2,3,1,4,4,5,4,4,3,4,3,Silky ,Long 
Skye-Terrier,5,3,3,3,3,1,3,3,3,3,3,3,3,3,Double ,Long 
Sloughi,4,3,3,3,1,1,2,3,2,3,3,4,2,3,Smooth ,Short 
Slovakian-Wirehaired-Pointer,5,3,4,2,1,2,3,3,3,3,5,4,3,3,Wiry ,Short 
Slovensky-Cuvac,5,3,3,4,2,3,2,3,5,3,3,3,1,3,Double ,Medium 
Slovensky-Kopov,5,3,4,3,1,2,3,3,3,3,4,3,3,3,Rough ,Short 
Small-Munsterlander,5,4,3,3,1,2,3,3,3,3,5,4,1,4,Double ,Medium 
Smooth-Fox-Terrier,5,3,3,3,2,1,3,4,5,4,3,4,5,3,Smooth ,Short 
